Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
N4BP1		ENSG00000102921	"NEDD4 binding protein 1"	O75113	16	48538726-48620148	"Predicted intracellular proteins"	"Immunity, Innate immunity"	"Hydrolase, Nuclease, RNA-binding"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"monocytes: 153.1"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in many"	5	"neutrophil: 8.5"	"Lineage enriched"	"Detected in many"	5	"granulocytes: 8.5"	"Low cancer specificity"	"Detected in all"			"Lung - Alveolar cells type 1"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA040849, HPA041080"	Approved		Approved	"Nucleoplasm,Nucleoli fibrillar center,Cytosol"			No	No			"Cluster 21: Neutrophils - Unknown function"	"Cluster 27: Squamous epithelium - Keratinization"	"Cluster 10: Cerebellum - Nucleic acid binding"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 78: NK-cells & T-cells - Immune system & Transcription"	8	"Nucleoli fibrillar center"	"Nucleoplasm, Cytosol"	"HPA040849: AB_10794866, HPA041080: AB_10794186"	"unprognostic (9.16e-2)"	"unprognostic (1.23e-1)"	"unprognostic (1.54e-1)"	"unprognostic (5.59e-2)"	"unprognostic (2.04e-1)"	"unprognostic (1.59e-1)"	"unprognostic (2.40e-1)"	"unprognostic (9.30e-2)"	"unprognostic (2.62e-1)"	"unprognostic (5.49e-3)"	"potential prognostic favorable (1.97e-7)"	"unprognostic (4.66e-2)"	"unprognostic (2.28e-3)"	"unprognostic (1.50e-2)"	"unprognostic (7.93e-2)"	"unprognostic (2.47e-1)"	"unprognostic (6.66e-2)"	"unprognostic (1.65e-1)"	"unprognostic (1.52e-1)"	"unprognostic (9.51e-2)"	"unprognostic (2.09e-2)"	"unprognostic (1.20e-1)"	"potential prognostic unfavorable (2.88e-5)"	"unprognostic (2.43e-1)"	"unprognostic (2.13e-2)"	"unprognostic (6.37e-2)"	"unprognostic (1.15e-1)"	"unprognostic (3.52e-1)"	"unprognostic (7.39e-2)"	"unprognostic (1.09e-1)"	"unprognostic (2.12e-2)"
NAMPT	"PBEF, PBEF1"	ENSG00000105835	"Nicotinamide phosphoribosyltransferase"	P43490	7	106248298-106285966	"Cancer-related genes, Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Biological rhythms, Pyridine nucleotide biosynthesis"	"Cytokine, Glycosyltransferase, Transferase"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Langerhans cells: 2610.8;Macrophages: 1807.9;monocytes: 6490.5;Serous glandular cells: 1795.9"	"Group enriched"	"Detected in all"	4	"endothelial cell: 662.1;leukocyte: 356.8;vascular associated smooth muscle cell: 237.6"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in all"	7	"neutrophil: 281.8"	"Lineage enriched"	"Detected in all"	9	"granulocytes: 281.8"	"Low cancer specificity"	"Detected in all"			"Colon - Neutrophils, Spleen - Neutrophils"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB034349, HPA047776, HPA057722"	Approved		Approved	"Nuclear speckles,Cell Junctions"	"Secreted to blood"	Cytokine	NA	NA	2140000	980000	"Cluster 35: Neutrophils - Protein binding"	"Cluster 11: Liver - Plasma proteins"	"Cluster 12: Non-specific - Vasculature"	"Cluster 71: Lymphoma - Inflammatory response"	"Cluster 74: Neutrophils - Degranulation"	15	"Nuclear speckles"	"Cell Junctions"	"CAB034349: AB_2251220, HPA047776: AB_2680151, HPA057722: "	"unprognostic (1.54e-1)"	"unprognostic (3.80e-2)"	"unprognostic (2.53e-1)"	"unprognostic (2.81e-2)"	"unprognostic (1.45e-2)"	"unprognostic (1.62e-1)"	"unprognostic (3.45e-2)"	"unprognostic (2.18e-3)"	"unprognostic (2.31e-3)"	"unprognostic (1.04e-2)"	"unprognostic (3.38e-3)"	"potential prognostic unfavorable (8.70e-4)"	"unprognostic (3.46e-2)"	"unprognostic (2.39e-1)"	"unprognostic (1.16e-1)"	"unprognostic (2.29e-2)"	"unprognostic (7.70e-3)"	"unprognostic (3.99e-2)"	"unprognostic (1.30e-1)"	"unprognostic (3.07e-3)"	"unprognostic (1.90e-1)"	"unprognostic (2.36e-3)"	"potential prognostic unfavorable (4.04e-5)"	"unprognostic (2.55e-1)"	"unprognostic (6.58e-2)"	"unprognostic (1.81e-1)"	"unprognostic (2.59e-1)"	"unprognostic (1.03e-1)"	"unprognostic (1.92e-1)"	"unprognostic (8.37e-2)"	"unprognostic (3.51e-2)"
NBEAL2	KIAA0540	ENSG00000160796	"Neurobeachin like 2"	Q6ZNJ1	3	46979666-47009704	"Disease related genes, Human disease related genes, Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Alveolar cells type 1: 133.3;Gastric mucus-secreting cells: 118.5;monocytes: 75.0"	"Cell type enhanced"	"Detected in all"		"leukocyte: 65.9"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in single"	7	"neutrophil: 4.4"	"Lineage enriched"	"Detected in single"	7	"granulocytes: 4.4"	"Low cancer specificity"	"Detected in all"			"Spleen - Neutrophils, Stomach - Gastric mucous cells"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			HPA051969	Approved						NA	NA		11000	"Cluster 28: Neutrophils - Unknown function"	"Cluster 27: Squamous epithelium - Keratinization"	"Cluster 42: Choroid plexus - Mitochondria"	"Cluster 14: Myeloid leukemia - Innate immune response"	"Cluster 72: Alveolar cells - Lung function"	3			"HPA051969: "	"unprognostic (7.93e-3)"	"unprognostic (7.09e-2)"	"unprognostic (1.18e-1)"	"unprognostic (3.99e-3)"	"unprognostic (6.37e-2)"	"unprognostic (5.80e-2)"	"unprognostic (1.60e-2)"	"unprognostic (7.38e-2)"	"unprognostic (4.78e-3)"	"unprognostic (6.91e-2)"	"unprognostic (2.02e-1)"	"unprognostic (1.48e-1)"	"unprognostic (1.51e-1)"	"potential prognostic unfavorable (4.15e-4)"	"unprognostic (3.41e-2)"	"unprognostic (3.35e-1)"	"unprognostic (9.61e-2)"	"unprognostic (6.64e-2)"	"unprognostic (1.12e-2)"	"unprognostic (4.06e-2)"	"unprognostic (3.13e-3)"	"unprognostic (5.66e-2)"	"unprognostic (6.15e-2)"	"unprognostic (2.46e-3)"	"unprognostic (1.18e-1)"	"unprognostic (4.40e-2)"	"unprognostic (8.36e-2)"	"unprognostic (8.01e-3)"	"unprognostic (2.16e-1)"	"unprognostic (6.77e-2)"	"unprognostic (2.29e-2)"
NPR3	"ANPRC, C5orf23, FLJ14054, GUCY2B, NPRC"	ENSG00000113389	"Natriuretic peptide receptor 3"	P17342	5	32689070-32791724	"Disease related genes, Predicted intracellular proteins, Predicted membrane proteins"		Receptor	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"kidney: 103.8"	"Cell type enhanced"	"Detected in many"		"Basal squamous epithelial cells: 37.0;Cardiomyocytes: 33.3;Distal tubular cells: 36.9;Granulosa cells: 40.7;Proximal tubular cells: 130.3"	"Cell type enhanced"	"Detected in many"		"CGE interneuron: 29.3;choroid plexus epithelial cell: 13.1;fibroblast: 12.7"	"Cancer enhanced"	"Detected in all"		"Kidney Renal Clear Cell Carcinoma (TCGA): 60.9"	"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in single"	6	"neutrophil: 3.1"	"Lineage enriched"	"Detected in single"	6	"granulocytes: 3.1"	"Cancer enhanced"	"Detected in many"		"cervical cancer: 20.5"	"Pancreas - Fibroblasts"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			HPA052702	Supported		Approved	Cytosol			NA	NA			"Cluster 20: Non-specific - DNA binding"	"Cluster 52: Kidney - Transmembrane transport"	"Cluster 23: Choroid plexus - Mixed function"	"Cluster 64: Connective tissue cells - ECM organization"	"Cluster 38: Proximal tubular cells - Transmembrane transport"	3	Cytosol		"HPA052702: AB_2681922"	"unprognostic (1.50e-1)"	"unprognostic (1.08e-2)"	"unprognostic (5.56e-2)"	"unprognostic (1.25e-1)"	"unprognostic (6.25e-3)"	"unprognostic (6.98e-2)"	"unprognostic (4.61e-2)"	"unprognostic (1.62e-2)"	"unprognostic (6.14e-3)"	"unprognostic (7.74e-3)"	"validated prognostic favorable (3.12e-11)"	"validated prognostic favorable (4.10e-5)"	"unprognostic (1.10e-2)"	"unprognostic (3.95e-3)"	"unprognostic (6.74e-3)"	"unprognostic (1.80e-1)"	"unprognostic (4.33e-1)"	"unprognostic (5.22e-2)"	"unprognostic (1.91e-2)"	"unprognostic (2.83e-1)"	"unprognostic (1.11e-1)"	"unprognostic (4.57e-2)"	"unprognostic (1.34e-1)"	"unprognostic (4.40e-3)"	"unprognostic (1.34e-1)"	"unprognostic (5.15e-2)"	"unprognostic (2.94e-2)"	"potential prognostic unfavorable (7.25e-4)"	"unprognostic (1.71e-1)"	"unprognostic (1.10e-2)"	"unprognostic (9.23e-2)"
NRBF2	"COPR1, COPR2, DKFZp564C1664, FLJ30395"	ENSG00000148572	"Nuclear receptor binding factor 2"	Q96F24	10	63133247-63155031	"Predicted intracellular proteins"	"Autophagy, Transcription, Transcription regulation"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Syncytiotrophoblasts: 322.5"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in all"	4	"neutrophil: 690.1"	"Lineage enriched"	"Detected in all"	7	"granulocytes: 690.1"	"Low cancer specificity"	"Detected in all"			"Spleen - Neutrophils, Testis - Spermatogonia"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA021670, HPA059477"	Uncertain		Approved	Nucleoplasm,Cytosol			NA	NA			"Cluster 4: Neutrophils - Degranulation"	"Cluster 19: Non-specific - Basic cellular processes"	"Cluster 26: Oligodendrocytes - Mixed function"	"Cluster 52: Non-specific - Mitochondria"	"Cluster 74: Neutrophils - Degranulation"	33	"Nucleoplasm, Cytosol"		"HPA021670: AB_2670803, HPA059477: AB_2684032"	"unprognostic (1.49e-2)"	"unprognostic (8.11e-2)"	"unprognostic (1.54e-1)"	"unprognostic (3.06e-1)"	"unprognostic (9.68e-2)"	"unprognostic (3.29e-2)"	"unprognostic (2.68e-2)"	"unprognostic (3.18e-3)"	"unprognostic (1.02e-1)"	"unprognostic (2.62e-3)"	"unprognostic (2.72e-3)"	"unprognostic (2.59e-1)"	"unprognostic (1.89e-1)"	"unprognostic (2.79e-2)"	"unprognostic (2.71e-1)"	"unprognostic (5.15e-2)"	"unprognostic (7.26e-2)"	"unprognostic (2.70e-1)"	"unprognostic (1.22e-2)"	"unprognostic (3.43e-2)"	"potential prognostic unfavorable (7.05e-4)"	"unprognostic (7.28e-3)"	"potential prognostic unfavorable (8.49e-4)"	"unprognostic (7.12e-3)"	"unprognostic (2.20e-2)"	"unprognostic (4.10e-3)"	"unprognostic (3.79e-1)"	"unprognostic (1.53e-1)"	"unprognostic (1.15e-2)"	"unprognostic (1.09e-3)"	"unprognostic (1.61e-1)"
NSUN7	FLJ14001	ENSG00000179299	"NOP2/Sun RNA methyltransferase family member 7"	Q8NE18	4	40749925-40811184	"Predicted intracellular proteins"		"Methyltransferase, RNA-binding, Transferase"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"testis: 16.0"	"Cell type enhanced"	"Detected in many"		"Ciliated cells: 34.7;Early spermatids: 54.2;Late spermatids: 70.7;Spermatocytes: 35.6"	"Cell type enhanced"	"Detected in all"		"choroid plexus epithelial cell: 93.0;ependymal cell: 140.6"	"Cancer enhanced"	"Detected in many"		"Kidney Chromophobe (TCGA): 13.6"	"Region enhanced"	"Detected in all"		"choroid plexus: 15.6"	"Immune cell enriched"	"Detected in single"	6	"neutrophil: 2.7"	"Lineage enriched"	"Detected in single"	6	"granulocytes: 2.7"	"Low cancer specificity"	"Detected in many"			"Lung - Respiratory ciliated cells, Prostate - Prostate glandular cells, Skin - Eccrine sweat gland cells, Spleen - Neutrophils, Testis - Early spermatids"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			HPA020653	Uncertain		Approved	Vesicles			NA	NA			"Cluster 20: Non-specific - DNA binding"	"Cluster 8: Ciliated cells - Cilium organization"	"Cluster 3: Choroid plexus - Cilium"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 42: Ciliated cells - Cilium assembly"		Vesicles		"HPA020653: AB_1848710"	"unprognostic (7.77e-3)"	"unprognostic (1.37e-1)"	"unprognostic (3.39e-1)"	"unprognostic (1.20e-2)"	"unprognostic (2.46e-2)"	"unprognostic (2.19e-1)"	"unprognostic (3.50e-2)"	"potential prognostic unfavorable (5.56e-6)"		"unprognostic (7.12e-2)"	"potential prognostic favorable (1.44e-5)"	"unprognostic (2.11e-3)"	"potential prognostic favorable (3.31e-4)"			"unprognostic (3.24e-2)"	"unprognostic (3.10e-1)"	"unprognostic (1.10e-1)"	"unprognostic (1.19e-1)"	"unprognostic (7.39e-2)"	"unprognostic (4.53e-3)"	"unprognostic (3.15e-1)"	"unprognostic (1.12e-1)"	"unprognostic (6.09e-2)"	"unprognostic (6.24e-3)"	"unprognostic (8.76e-3)"		"unprognostic (1.81e-1)"	"unprognostic (1.36e-1)"	"unprognostic (1.68e-1)"	"unprognostic (3.47e-1)"
OR11G2		ENSG00000196832	"Olfactory receptor family 11 subfamily G member 2"		14	20190896-20201075	"Predicted membrane proteins"				"Evidence at transcript level"	"Evidence at transcript level"			"Not detected"	"Not detected"			"Cell type enhanced"	"Detected in some"		"dendritic cells: 2.2;Kupffer cells: 1.2;Lymphatic endothelial cells: 2.7;NK-cells: 1.4;Serous glandular cells: 2.3"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Immune cell enriched"	"Detected in single"	5	"neutrophil: 2.2"	"Lineage enriched"	"Detected in single"	13	"granulocytes: 2.2"	"Not detected"	"Not detected"				"Not detected"	"Not detected"			"Not detected"	"Not detected"										NA	NA			"Cluster 21: Neutrophils - Unknown function"				"Cluster 78: NK-cells & T-cells - Immune system & Transcription"																																			
PGM5	PGMRP	ENSG00000154330	"Phosphoglucomutase 5"	Q15124	9	68328308-68531061	"Predicted intracellular proteins"	"Cell adhesion"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"intestine: 260.3"	"Group enriched"	"Detected in many"	4	"Cardiomyocytes: 114.4;Endothelial cells: 44.8;Lymphatic endothelial cells: 157.6;Microglial cells: 119.0;Smooth muscle cells: 50.5"	"Group enriched"	"Detected in many"	6	"central nervous system macrophage: 314.7;endothelial cell: 453.4"	"Cancer enhanced"	"Detected in all"		"Prostate Adenocarcinoma (TCGA): 47.5"	"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in single"	48	"neutrophil: 4.8"	"Lineage enriched"	"Detected in single"	48	"granulocytes: 4.8"	"Cancer enhanced"	"Detected in many"		"Sarcoma: 8.1"	"Adipose subcutaneous - Smooth muscle cells, Kidney - Fibroblasts, Liver - Sinusoid Endothelial cells, Prostate - Smooth muscle cells, Skin - Smooth muscle cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB034397, HPA046329, HPA067102"	Enhanced		Uncertain	Cytosol			NA	NA		580000	"Cluster 35: Neutrophils - Protein binding"	"Cluster 41: Smooth muscle tissue - ECM organization"	"Cluster 25: Non-specific - Transcription"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 54: Lymphatic endothelial cells - Lymph vessel development"		Cytosol		"CAB034397: AB_1118633, HPA046329: AB_2679625, HPA067102: AB_2732758"	"unprognostic (1.10e-2)"	"unprognostic (3.46e-1)"	"unprognostic (6.02e-3)"	"unprognostic (1.38e-2)"	"unprognostic (2.47e-2)"	"unprognostic (3.02e-1)"	"unprognostic (2.51e-1)"	"unprognostic (1.34e-1)"	"unprognostic (1.15e-1)"	"unprognostic (2.88e-2)"	"validated prognostic favorable (8.13e-8)"	"validated prognostic favorable (1.61e-6)"	"unprognostic (1.30e-1)"	"validated prognostic favorable (1.57e-4)"	"validated prognostic favorable (8.36e-4)"	"potential prognostic favorable (7.63e-4)"	"unprognostic (9.17e-3)"	"unprognostic (5.52e-2)"	"unprognostic (5.01e-2)"	"unprognostic (7.87e-3)"	"unprognostic (9.00e-2)"	"unprognostic (4.76e-2)"	"unprognostic (2.19e-1)"	"unprognostic (2.60e-2)"	"unprognostic (1.30e-2)"	"unprognostic (1.05e-2)"	"unprognostic (1.39e-1)"	"unprognostic (5.46e-3)"	"unprognostic (1.81e-1)"	"unprognostic (1.93e-1)"	"unprognostic (1.48e-1)"
PHC2	"EDR2, HPH2"	ENSG00000134686	"Polyhomeotic homolog 2"	Q8IXK0	1	33323623-33431095	"Predicted intracellular proteins"		"Developmental protein, DNA-binding"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"monocytes: 173.9"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in all"	9	"neutrophil: 93.7"	"Lineage enriched"	"Detected in all"	11	"granulocytes: 93.7"	"Low cancer specificity"	"Detected in all"			"Minor Salivary Gland - Minor salivary glandular cells, Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA047403	Supported		Supported	Nucleoplasm			NA	NA			"Cluster 35: Neutrophils - Protein binding"	"Cluster 19: Non-specific - Basic cellular processes"	"Cluster 30: White matter - Myelination"	"Cluster 72: Neuronal - Signal transduction"	"Cluster 74: Neutrophils - Degranulation"	88	Nucleoplasm		"HPA047403: AB_10964220"	"unprognostic (2.22e-2)"	"unprognostic (3.61e-2)"	"unprognostic (2.54e-1)"	"unprognostic (1.21e-3)"	"unprognostic (7.10e-2)"	"unprognostic (9.62e-3)"	"unprognostic (2.01e-1)"	"unprognostic (6.70e-2)"	"unprognostic (3.45e-2)"	"unprognostic (1.91e-1)"	"unprognostic (1.48e-2)"	"unprognostic (1.04e-2)"	"unprognostic (1.58e-1)"	"validated prognostic unfavorable (2.57e-8)"	"validated prognostic unfavorable (6.78e-4)"	"validated prognostic unfavorable (7.85e-4)"	"validated prognostic unfavorable (7.57e-7)"	"unprognostic (4.31e-3)"	"unprognostic (3.12e-3)"	"unprognostic (2.93e-2)"	"unprognostic (5.70e-2)"	"unprognostic (4.77e-2)"	"unprognostic (2.15e-1)"	"unprognostic (5.71e-2)"	"unprognostic (1.94e-1)"	"unprognostic (6.46e-3)"	"unprognostic (1.27e-1)"	"unprognostic (3.43e-1)"	"unprognostic (2.91e-2)"	"unprognostic (7.20e-2)"	"unprognostic (2.71e-3)"
PIP4P2	"DKFZp762O076, TMEM55A"	ENSG00000155099	"Phosphatidylinositol-4,5-bisphosphate 4-phosphatase 2"	Q8N4L2	8	90993802-91040872	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Lipid metabolism"	Hydrolase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in all"	7	"neutrophil: 77.2"	"Lineage enriched"	"Detected in all"	7	"granulocytes: 77.2"	"Low cancer specificity"	"Detected in all"			"Thyroid gland - Fibroblasts"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA014591	Approved						NA	NA			"Cluster 21: Neutrophils - Unknown function"	"Cluster 5: Brain & Testis - Signal transduction"	"Cluster 21: Non-specific - Metabolism"	"Cluster 3: Rhabdoid - Membrane components"	"Cluster 57: Platelets - Hemostasis"	18			"HPA014591: AB_1858124"	"unprognostic (3.89e-2)"	"unprognostic (1.03e-1)"		"unprognostic (3.17e-3)"	"unprognostic (2.17e-2)"	"unprognostic (7.03e-2)"	"unprognostic (3.29e-1)"	"unprognostic (8.30e-3)"	"potential prognostic unfavorable (1.36e-4)"	"unprognostic (2.44e-1)"	"potential prognostic favorable (6.89e-5)"	"unprognostic (5.80e-2)"	"unprognostic (6.92e-2)"	"potential prognostic unfavorable (7.96e-4)"		"unprognostic (9.51e-3)"	"unprognostic (1.49e-2)"	"unprognostic (5.22e-2)"	"unprognostic (8.65e-2)"	"unprognostic (3.13e-2)"	"unprognostic (1.40e-3)"	"unprognostic (2.61e-2)"	"unprognostic (8.71e-3)"	"unprognostic (9.50e-2)"	"unprognostic (3.78e-1)"	"unprognostic (1.27e-2)"	"unprognostic (1.94e-2)"	"potential prognostic unfavorable (3.11e-5)"	"unprognostic (2.91e-1)"	"unprognostic (2.88e-2)"	"unprognostic (2.65e-3)"
PITPNM3	"ACKR6, CORD5, NIR1, RDGBA3"	ENSG00000091622	"PITPNM family member 3"	Q9BZ71	17	6451263-6556555	"Disease related genes, Human disease related genes, Predicted intracellular proteins"			"Cone-rod dystrophy, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 38.4;lymphoid tissue: 59.4"	"Cell type enhanced"	"Detected in many"		"Excitatory neurons: 19.8;Inhibitory neurons: 23.2"	"Low cell type specificity"	"Detected in many"			"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in single"	23	"neutrophil: 2.2"	"Lineage enriched"	"Detected in single"	23	"granulocytes: 2.2"	"Low cancer specificity"	"Detected in many"			"Liver - Sinusoid Endothelial cells, Lung - Alveolar cells type 2, Minor Salivary Gland - Minor salivary gland basal cells, Spleen - Endothelial cells, Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA022432, HPA059005"	Enhanced		Approved	"Plasma membrane"			NA	NA				"Cluster 22: Brain - Synaptic signal transduction"	"Cluster 51: Neurons - Mixed function"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 6: Ovarian stromal cells - Transcription"	4	"Plasma membrane"		"HPA022432: AB_2670936, HPA059005: AB_2683876"	"unprognostic (5.95e-2)"	"unprognostic (1.94e-2)"	"unprognostic (6.76e-2)"	"unprognostic (1.77e-1)"	"unprognostic (6.84e-2)"	"unprognostic (1.08e-1)"	"unprognostic (2.96e-2)"	"unprognostic (7.13e-2)"	"potential prognostic favorable (1.94e-6)"				"unprognostic (1.98e-3)"			"unprognostic (1.69e-1)"	"unprognostic (1.76e-1)"	"unprognostic (1.26e-1)"	"unprognostic (1.65e-2)"	"unprognostic (8.47e-2)"	"unprognostic (2.15e-2)"	"unprognostic (1.55e-3)"	"unprognostic (6.97e-2)"	"unprognostic (5.03e-2)"	"unprognostic (8.99e-2)"	"unprognostic (1.64e-1)"	"unprognostic (3.02e-2)"	"unprognostic (3.42e-2)"	"unprognostic (1.74e-1)"	"unprognostic (1.26e-1)"	"unprognostic (2.29e-2)"
